1,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Mandvi Main Branch~
",3/31/2018,1-4-18 to 31-3-19,,ROBOMAK T.T,4000,6,ALREADY PRINTED
1,,,,,,,,KORES KASHMAN II,4500,1,
1,,,,,,,,ROBOMAK FLOOR,4500,1,
2,BARODA,NCM,,"The Branch Manager~
State Bank Of India~
Somnath IE Branch~
Daman. (UT)~

",3/31/2018,1-4-18 to 31-3-19,,BRADMA CHIHUA,4500,1,
2,,,,,,,,METHODEX SYS FLOOR,4500,1,
2,,,,,,,,ROBOMAK T.T,4000,2,
3,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Atladra Branch~
Baroda.~

",3/31/2018,1-4-18 to 31-3-19,,,4000,1,
4,BARODA,NCM,,"The Branch Manager~
State Bank Of India~
Gandevi Branch~
Dist. – Navsari.~

",3/31/2018,1-4-18 to 31-3-19,,BRADMA CT 100,4000,1,
4,,,,,,,,BRADMA CHIHUA,4500,1,
5,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Sadhli Branch~
Dist. Baroda.~
",3/31/2018,1-4-18 to 31-3-19,,Bradma – CC3100 ,4000,1,
6,BARODA,NCM,,"The Branch Manager~
State Bank Of India~
Bardoli Main branch~
Dist. Surat.~

",3/31/2018,1-4-18 to 31-3-19,,Kores–Kashman –II,4000,1,
6,,,,,,,,Kores – Floor,4500,1,
6,,,,,,,,Robomak – Floor,4500,2,
7,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Salad Branch~
Dist. Baroda.~

",3/31/2018,1-4-18 to 31-3-19,,Bradma – CC3100 ,4000,1,
8,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Moti Daman Branch,~  U.T.~
",3/31/2018,1-4-18 to 31-3-19,,Bradma - CT3000,4000,1,
8,,,,,,,,Bradma - Chihua,4500,1,
9,BARODA,NCM,,"The Branch Manager~
State Bank of India~
Manjalpur Branch,~
Baroda.~
",3/31/2018,1-4-18 to 31-3-19,,Robomak - T.T,4000,2,
10,BARODA,NCM,,"The Branch Manager~
State Bank of India~
V.I.P. Road Branch~
Baroda.~

",3/31/2018,1-4-18 to 31-3-19,,Kores – Kashman – II,4000,1,
10,,,,,,,,Robomak – Floor,4500,1,
